"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NABARD","N2","27-Sep-2018","       1120.50","       1121.00","       1121.00","       1113.99","       1113.99","       1114.20","       1115.39","       1400","             1561545.20","         17","        870","         62.14"
"NABARD","N2","28-Sep-2018","       1114.20","       1122.50","       1122.50","       1110.00","       1110.00","       1110.00","       1115.21","       1600","             1784333.50","         16","       1450","         90.62"
"NABARD","N2","01-Oct-2018","       1110.00","       1110.00","       1111.00","       1107.00","       1110.00","       1108.74","       1109.23","        828","              918440.75","         16","        590","         71.26"
"NABARD","N2","03-Oct-2018","       1108.74","       1115.00","       1140.00","       1115.00","       1140.00","       1129.84","       1124.12","       4801","             5396923.24","         41","       4700","         97.90"
"NABARD","N2","04-Oct-2018","       1129.84","       1124.00","       1129.75","       1124.00","       1129.40","       1128.05","       1126.94","       1401","             1578846.59","         13","       1300","         92.79"
"NABARD","N2","05-Oct-2018","       1128.05","       1125.00","       1131.90","       1120.00","       1131.90","       1131.26","       1125.34","       1377","             1549598.00","         12","       1275","         92.59"
"NABARD","N2","08-Oct-2018","       1131.26","       1125.00","       1125.00","       1125.00","       1125.00","       1125.00","       1125.00","          1","                1125.00","          1","          1","        100.00"
"NABARD","N2","09-Oct-2018","       1125.00","       1125.00","       1125.05","       1115.50","       1123.50","       1123.04","       1121.41","       4294","             4815328.49","         25","       3082","         71.77"
"NABARD","N1","10-Oct-2018","       1071.25","       1085.00","       1085.00","       1084.50","       1085.00","       1085.00","       1084.83","       3006","             3261010.00","          4","       3006","        100.00"
"NABARD","N2","12-Oct-2018","       1123.04","       1125.00","       1125.00","       1125.00","       1125.00","       1125.00","       1125.00","          1","                1125.00","          1","          1","        100.00"
"NABARD","N2","15-Oct-2018","       1125.00","       1125.00","       1135.00","       1120.00","       1125.00","       1121.18","       1122.34","       1201","             1347925.00","          8","       1101","         91.67"
"NABARD","N2","16-Oct-2018","       1121.18","       1125.00","       1135.00","       1125.00","       1131.00","       1134.93","       1132.67","        403","              456465.01","          7","        401","         99.50"
"NABARD","N1","17-Oct-2018","       1085.00","       1120.00","       1120.00","       1120.00","       1120.00","       1120.00","       1120.00","         50","               56000.00","          1","         50","        100.00"
"NABARD","N2","17-Oct-2018","       1134.93","       1125.00","       1129.99","       1125.00","       1129.99","       1129.97","       1127.40","        678","              764376.94","         12","        656","         96.76"
"NABARD","N2","19-Oct-2018","       1129.97","       1125.00","       1148.50","       1125.00","       1139.00","       1139.06","       1139.12","       1166","             1328217.60","         17","        910","         78.04"
"NABARD","N2","22-Oct-2018","       1139.06","       1125.00","       1139.95","       1125.00","       1139.95","       1139.42","       1138.00","        849","              966163.20","         31","        841","         99.06"
"NABARD","N2","23-Oct-2018","       1139.42","       1125.00","       1137.00","       1125.00","       1134.90","       1134.90","       1130.32","        511","              577595.85","         22","        300","         58.71"
"NABARD","N2","24-Oct-2018","       1134.90","       1125.25","       1129.95","       1125.25","       1129.95","       1129.95","       1127.83","        702","              791735.65","         17","        622","         88.60"
"NABARD","N2","29-Oct-2018","       1129.95","       1129.90","       1133.00","       1129.90","       1133.00","       1133.00","       1131.27","        135","              152721.50","          5","        135","        100.00"
